,,2月 joint 累計支出：36684,,,,,
品項,說明,金額,日期,,Source,Payer,
外食,飯團,265,2018-02-23,Joint,Trista_Cash,undefined,
可樂,,23,2018-02-23,Joint,Trista_Cash,undefined,
氣泡水,*2,44,2018-02-23,Joint,Trista_Cash,undefined,
洋芋片,,45,2018-02-23,Joint,Trista_Cash,undefined,
多力多茲,,36,2018-02-23,Joint,Trista_Cash,undefined,
奶油,,57,2018-02-23,Joint,Trista_Cash,undefined,
肉片,,80,2018-02-23,Joint,Trista_Cash,undefined,
泡麵,*2,84,2018-02-23,Joint,Trista_Cash,undefined,
泡麵,,43,2018-02-23,Joint,Trista_Cash,undefined,
多力多茲,,36,2018-02-23,Joint,Trista_Cash,undefined,
外食,日式定食,480,2018-02-24,Joint,Trista_Cash,undefined,
大蒜麵包,,65,2018-02-24,Joint,Trista_Cash,undefined,
外食,鹹酥雞,455,2018-02-24,Joint,Trista_Cash,undefined,
transfer to Trista_Cash,transfer to Trista_Cash,3000,2018-02-24,Joint,Trista_Cathay_Bank,,transfer
蔬菜,,180,2018-02-25,Joint,Trista_Cash,undefined,
水果,,230,2018-02-25,Joint,Trista_Cash,undefined,
牛奶,,93,2018-02-25,Joint,Trista_Cash,undefined,
紅茶,*4,80,2018-02-25,Joint,Trista_Cash,undefined,
肉片,,173,2018-02-25,Joint,Trista_Cash,undefined,
